试题类型	知识范畴	题干	试题难度	正确答案	答案			
单选题	专业知识	客户申请办理“批量超级对私支付”业务，则柜员须审核是否已经得到____审批同意，并通过“46422企业网银渠道维护”交易为客户进行开通。	难	3	一级支行电子银行部门	一级支行公司业务部门	一级分行电子银行部门	一级分行公司业务部门
单选题	专业知识	添加注册账户和新增操作员时不需要提供以下资料_____。	难	2	《电子银行业务申请表（企业）》	《电子银行企业客户服务协议》	《组织机构代码证》原件及复印件	法定代表人有效身份证件的原件及复印件
单选题	专业知识	企业网银_____业务可以提供法定代表人身份证件复印件即可办理。	难	3	企业网银正常注册	同一组代开多个网银。	版本转换	以上均是
单选题	专业知识	企业网银注册资料审核无误后，柜员应在《电子银行业务申请表（企业）》上签署审批意见并加盖_____。	易	4	电子银行专用章	业务专用章	业务受理章	业务办讫章
单选题	专业知识	《电子银行企业客户服务协议》（银行联）应_____保管。	易	1	设专夹	附运营主管传票	附经办柜员传票	附《电子银行业务申请表（企业）》
单选题	专业知识	客户通过企业网上银行办理预约业务的资金账户必须是_____。	易	2	基本存款账户	企业网银注册账户	一般存款账户	专用存款账户
单选题	专业知识	客户通过企业网银发起的预约业务，其账务处理、资金清算纳入_____系统完成。	易	3	NBOS	ABIS	BoEing	EBRS
单选题	专业知识	"客户通过企业网上银行办理的定期存款,在柜面打印《企业定期存款开户证实书》。打印完成后，该笔定期存款必须转由_____渠道受理。"	难	4	企业网上银行	自助通	ATM	柜面
单选题	专业知识	企业网银注册账户设置成交易限额账户后，在网银上发起转账交易，若交易金额超过“单笔控制限额”（含）或支出后账户余额低于“账户余额下限”（不含），交易将被强制落地到账户开户行时，由开户行_____进行审核处理。	难	1	负责人	运营主管	客户经理	经办柜员
单选题	专业知识	在每日营业结束前，补录经办行须通过_____交易查询补录处理情况，并及时完成人工补录处理。	中	2	21044	46027	21043	21221
单选题	专业知识	客户申请手机短信通知服务时，需指定移动电话号码（不含小灵通）接收短信服务，一个注册账户最多可以注册_____个电话号码。	易	3	3	4	5	6
单选题	专业知识	企业网银回单一共可以打印_____次。	中	3	1	2	3	4
单选题	专业知识	《中国农业银行企业电子银行业务操作规程》所谓企业签章是指_____。	中	1	该企业的公章加法定代表人或者授权代理人的签名或盖章	该企业的公章	该企业的公章加法定代表人或者授权代理人的签名	该企业的公章加法定代表人或者授权代理人的盖章
单选题	专业知识	企业网上银行的商标品牌为_____。	中	4	“金ｅ顺”	“金钥匙”	“金光道”	“财智ｅ通”
单选题	专业知识	适用于内部财务管理层级较多，审查流程较为严密，且金融需求较为复杂的企业客户的企业网上银行的系统版本是_____。	易	1	智博版	智锐版	智信版	智翼版
单选题	专业知识	适用于内部财务管理层级较少，审查流程较为灵活，且金融需求较为标准化的企业客户的企业网上银行的系统版本是_____。	易	2	智博版	智锐版	智信版	智翼版
单选题	专业知识	适用于信息化水平较高，运行有ＥＲＰ等软件系统，且有与我行企业网银系统直接对接需求的客户的企业网上银行的系统版本是_____。	易	4	智博版	智锐版	智信版	智翼版
单选题	专业知识	客户注册企业网上银行后即可使用的金融产品和服务，包括：_____。	易	1	对公转账支付	对私转账支付	理财产品	现金管理
单选题	专业知识	客户在注册企业网上银行的同时或之后，另行向我行提出申请方可使用的金融产品和服务，包括：_____。	难	2	查询	代收代付	对公转账支付	集团理财
单选题	专业知识	企业网上银行所有的交易功能均可以_____的方式完成。	中	3	实时发起	多笔发起	单笔发起	批量发起
单选题	专业知识	企业网上银行相关收费应优先从_____中收取。	易	4	注册时间最早的企业网上银行注册账户	其他合理方式确定的账户	企业网上银行的任一账户	客户指定的扣费账户
单选题	专业知识	企业网上银行业务是指中国农业银行通过____等媒介，为企业客户提供的在线金融服务。	易	3	报刊	电台	公共互联网	电视
单选题	专业知识	选择网上银行对账方式的，一张网上银行对账单可以对____账户进行对账。	易	4	一个	二个	三个	多个
单选题	专业知识	开通银企对账网银业务的客户，需添加／删除对账账号，须到____办理。	易	1	银企对账网银签约行	账户开户行	贷款行	任意行
单选题	专业知识	企业将纸质对账方式变更为网上银行对账方式的，可通过____变更也可到银企对账网银签约行办理。	易	1	企业网银自助	电话银行	开户行	交易行
单选题	专业知识	因系统原因造成客户网银对账方式维护不成功的，需重新签约为网银对账方式的，客户____提供相关申请资料。	易	2	需重新提供相关申请资料	可免于提供相关申请资料	应提供身份证原件	应提供营业执照原件
单选题	专业知识	共用一个组织机构代码但注册了多个企业网银的“一对多”客户，根据客户需求的不同，____。	易	3	只能集中对账	只能分散对账	可集中对账，也可分散对账	不能使用网银对账
单选题	专业知识	客户提交的网上银行对账结果转入对账管理系统，由____处理。	易	4	开户行	运营管理部	计算机自动	对账中心
单选题	专业知识	银企对账网银业务是指我行为____提供的通过网上银行获取指定账户对账单，在线与银行完成账务核对的服务。	易	2	三农客户	企业网上银行注册客户	基本账户客户	优质客户
单选题	专业知识	企业客户办理银企对账网银业务须与我行签订一式两份《中国农业银行银企对账服务协议》，并填写《中国农业银行____》，将对账方式指定为网上银行。	易	2	网银对账申请书	银企对账要素表	开户申请书	对账承诺书
单选题	专业知识	企业网银客户申请开通银企对账网银业务，网点柜员对客户提供的资料，须____。	易	4	核对经办人身份证	核对经办人身份证，并留存复印件	对经办人身份信息进行联网核查	对经办人身份信息进行联网核查，并留存联网核查结果
单选题	专业知识	银企对账网银签约，指定账户____签约网上银行对账或指定账户对账方式变更为网上银行对账的，指定账户中应至少包括一个网上银行注册账户。	易	1	初次	柜面	上门	第三方
单选题	专业知识	银企对账网银签约，____是建立对账单后系统自动生成的合约号，是对账单的唯一标识。	易	3	账号	合约号	账单号	以上可任选一个
单选题	专业知识	银企对账网银签约，指定账户初次签约并需将对账方式指定为网上银行的，客户可到____签约。	易	2	指定账户的开户行	任一账户的开户行	客户端	第三方
单选题	专业知识	银企对账网银签约，网点柜员应审核在签约行开立的待对账账户的账号、户名等内容与业务系统是否相符，审核在签约行开立的对账账户中是否有____。	易	4	网银对账申请书	网上银行	网上银行账户	网上银行注册账户
单选题	专业知识	凡在我行开立账户（暂不含贷记卡账户）的客户，向我行____提出申请，均可注册个人消息服务业务。	易	2	账户开户行所在地市内任一营业网点	账户开户行所在省内任一营业网点	任一营业网点	开卡行
单选题	专业知识	客户注册个人消息服务业务时，____。	易	2	一个注册账户可对应多个电话号码，一个电话号码可以同时对应多个注册账户	一个注册账户对应唯一电话号码，一个电话号码可以同时对应多个注册账户	一个注册账户对应唯一电话号码，一个电话号码同时对应一个注册账户	注册账户与电话号码一一对应
单选题	专业知识	注册个人消息服务业务可以最多一次注册____个账户。	中	3	一	二	五	多
单选题	专业知识	个人客户注销消息服务业务，须____办理。	中	1	本人持有效身份证件原件到营业网点	通过电话银行	通过网上银行	通过微信
单选题	专业知识	个人消息服务注销业务，如客户欠费，____后方可注销。	中	4	先删除欠费信息	核销欠费款项	新开一张借记卡	需同时缴纳所欠费用
单选题	专业知识	企业消息服务业务，一个注册账户____，一个电话号码可以同时对应多个注册账户。	中	3	只可以注册一个电话号码	最多可以注册二个电话号码	最多可以注册五个电话号码	不受限制
单选题	专业知识	企业消息服务注册账号需为____企业注册账号，支持基本账户和一般账户。	中	1	本网点开户的	市内任意网点	省内任意网点	任意网点
单选题	专业知识	客户在使用个人消息服务业务期间，系统定期从缴费账户中收取服务费用，服务费的计算和收取____。	中	3	非注册消息服务个人账户	注册消息服务个人账户	以注册账户为基本单位	以非注册账户为基本单位
单选题	专业知识	个人客户暂停消息服务业务，____办理。	中	2	须本人登陆网银	须本人到营业网点	须本人登陆手机银行	须本人打客服电话95599
单选题	专业知识	个人消息服务缴费业务是指消息服务注册客户在我行____缴纳消息服务费的业务。	中	1	营业网点	自助设备	超级柜台	网上银行
单选题	专业知识	电子商务交易市场费用转出用于将特约商户（交易市场）在交易资金专用账户的特殊用途资金转入到____账户中。	中	4	基本账户	一般账户	临时账户	特约商户其他结算
单选题	专业知识	电子商务交易市场协助撤单用于根据____和其他异常情况需要，将交易客户挂单时的剩余预交货款和手续费款项划转到交易客户账户。	中	1	法院等国家有权机关的书面通知	客户经理的书面通知	交易方的书面申请	交易市场的书面通知
单选题	专业知识	交易市场协助撤单，该功能____实现。	易	2	在交易方开户行	在特约商户（交易市场）所在营业网点	在网上银行	在任意网点
单选题	专业知识	商户证书在客户或授权网点来领取两码密码封前，已打印好的两码密码封按____管理。	易	4	现金	重要物品	有价单证	重要空白凭证
单选题	专业知识	电子商务交易市场强制划款标志为划给卖方时，输入正确的确认付款金额，如果小于系统默认显示的买方剩余/应退预交货款，则输入的买方应退预交货款金额与卖方应退预交货款金额等于____。	易	3	买方剩余金额	应退预交货款	确认付款金额	卖方应退预交货款金额
单选题	专业知识	电子商务交易市场强制划款标志为划给买方时，输入正确的退货金额、此时输入的买方应退预交货款与卖方应退预交货款等于系统默认显示的____。	易	4	买方剩余预交货款	卖方剩余预交货款	买方或卖方剩余预交货款	买卖双方剩余预交货款
单选题	专业知识	电子商务交易市场跨行状态维护用于柜员对____支付平台跨行付款交易的交易状态进行查询及维护。	难	1	网上交易市场	柜面交易市场	跨行交易市场	以上均可
单选题	专业知识	电子商务交易跨行状态维护，状态包括已受理、失败和____三种。	难	2	未受理	未知	已知	成功
单选题	专业知识	电子商务交易跨行状态维护，实际付款信息是指通过商户存管账户过渡后，将款项付款至收款方账户的____信息。	难	3	账户	客户	实际客户	实际账户
单选题	专业知识	电子商务交易跨行状态维护，交易状态为“未知”的跨行付款交易的状态可改为____。	难	4	已受理	交易失败	交易成功	“已受理”或“交易失败”
单选题	专业知识	电子商务交易跨行状态维护，交易状态为“已受理”，被他行退回时交易状态可改为____，按交易金额恢复退标额度。	难	1	交易失败	已受理	交易成功	未受理
单选题	专业知识	电子商务交易跨行状态维护，交易状态为____时，跨行付款交易只能做查询处理，不允许修改。	难	3	已受理	未受理	交易失败	交易成功
单选题	专业知识	电子商务商户证书管理只允许____申请、补办、补打证书。	难	2	商户开户行	商户注册行	任一营业网点	本地市内营业网点
单选题	专业知识	电子商务商户证书管理只能申请、补办、补打状态为____的证书。	难	3	已受理	未受理	已生成	未生成
多选题	基础知识	个人客户申请注册个人电子银行业务，须本人到我行任一网点办理并提供以下资料：	易	123	本人有效身份证件原件	注册账户凭证原件	如果客户已注册某电子渠道，还需提供任一已注册电子渠道的账户原件	安全认证工具
多选题	基础知识	注册个人电子银行业务，选择全渠道签约时，账户须为：	易	1234	借记卡	准贷记卡	贷记卡	存折（支控方式为“凭密”）
多选题	基础知识	注册个人电子银行业务，选择电话银行签约时，账户须为：	易	124	借记卡	准贷记卡	贷记卡	存折（支控方式为“凭密”）
多选题	专业知识	新开通的网上银行/掌上银行，如果选择启用，则必须绑定至少一种安全工具。其中掌上银行支持以下哪些安全工具____。	易	234	普通K宝	通用K宝	K令	口令卡
多选题	专业知识	以下关于安全认证手机号码和掌上银行号码的说法正确的有：	难	1234	新客户签约全渠道时，若输入的掌上银行号码与其他客户重复(包括安全认证手机号/掌上银行号码)，则报错，交易失败。	新客户签约全渠道时，若输入的安全认证手机号与其他客户重复(包括安全认证手机号/掌上银行号码)，可签约成功，但安全认证手机号/短信银行号码为空，并在回单中进行提醒。	"若坚持使用该重复的安全认证手机号码，需要提供运营商证明，再通过""手机号删除""交易删除其他客户的重复号码。删除其他客户的重复号码后，可用安全认证手机号管理交易进行注册。"	存量客户签约全渠道时，原有安全认证手机号/短信银行号码/掌上银行号码，直接带入，不可修改，不校验重复。
多选题	专业知识	以下关于个人网银特殊限额维护的说法正确的有：	中	34	该交易允许在默认限额上调高或者调低额度。	该交易只允许默认限额上调低额度，不能调高额度。	该交易只允许默认限额上调高额度，不能调低额度。	该交易仅限于绑定二代K或通用K的网银/掌银客户
多选题	专业知识	个人电子渠道一体化转账落地业务经办行负责定时对落地业务进行处理。落地业务经办行可以是以下哪些____机构?	中	123	转出方账户的开户行	管理行指定的营业机构	管理行指定的后台中心	转入方账户的开户行
多选题	专业知识	以下关于网银落地撤单业务的说法正确的有：	难	1234	"如业务状态为""未补录，正在补录""，可以接受书面撤单申请，柜员在补录处理时选择""拒绝并标记为失败""。"	"如业务状态为""补录待复核，正在复核""，可以接受书面撤单申请，柜员在复核时，选择状态为""置为失败""。"	"如业务状态为""已复核未处理""，但未发送转账交易时，客户要求撤销该笔交易，参照柜台撤单业务办理。"	"如业务状态显示为""已复核已提交且成功""，则应立即通知客户无法撤销该笔业务。"
多选题	专业知识	以下关于经办行柜员处理网银落地业务的说法正确的有：	难	1234	在客户没有主动提出撤单的情况下，柜员请求处理落地业务时必须做联动扣款交易，不得中途强行退出联动交易。	每天在同城交换和联行发报前柜员必须再做一次落地业务处理。	柜员在节假日后第一个工作日到岗后应立即登录BoEing系统，处理落地业务。	柜员应将由于转入方信息有误等原因造成汇款被退回的落地业务做退汇业务处理，处理方式与柜台办理业务一致。
多选题	专业知识	个人网上银行注册客户分为____客户和____客户。	易	13	网点注册	ATM注册	自助注册	人工注册
多选题	专业知识	自助绑定账户是指在农业银行个人网上银行自助注册或追加至个人网上银行内的个人账户。此类账户可以做以下哪些____交易?	易	23	作为转出方进行对外支付	查询类交易	部分资金账户内循环交易	以上都可以
多选题	专业知识	客户办理个人网上银行业务申请的有效身份证件包括____。	易	1234	居民身份证	护照	港澳居民来往内地通行证	台湾居民来往大陆通行证
多选题	专业知识	除____情形，个人网上银行所有业务申请必须由本人办理。	难	34	年满16周岁但无民事行为能力的成年人，可由其监护人代理	中国公民在境外因故不能回国亲自办理业务申请(含个人网上银行渠道注册业务)的，可以委托其直系亲属办理	中国公民在境外因故不能回国亲自办理业务申请(不含个人网上银行渠道注册务)的，可以委托其直系亲属代办	不满16周岁的中国居民，需由其监护人代为办理
多选题	专业知识	个人网上银行各项交易功能由注册客户登录个人网上银行自助操作实现，主要包括____等。	易	1234	账户管理	转账汇款	信用卡	投资理财
多选题	专业知识	转账汇款是指本行账户间，本行与他行账户间的资金结算业务，包括____等功能。	易	1234	快捷转账	网银账户互转	收款方管理	批量转账
多选题	专业知识	经人工补录处理的转账交易，如发生退汇，须由____办理；系统自动处理的转账交易，如发生退汇，须由____办理。	难	14	原补录经办行	账户开户行	网银注册行	原转汇行
多选题	专业知识	个人网银投资理财是指____等功能。	易	1234	基金	债券	理财产品	贵金属
多选题	专业知识	电子银行渠道管理包括____等功能。	易	1234	电话银行注册和维护	手机银行注册和维护	消息服务注册和维护	限额管理
多选题	专业知识	个人网上银行业务收费项目包括____等。	易	1234	工本费	手续费	代理服务费	增值服务费
多选题	专业知识	跨行转账交易手续费在____之间按照一定比例进行分配，分配比例由一级分行设定。	难	123	账户开户行	网银注册行	补录经办行/转汇行	转入行
多选题	专业知识	个人网上银行采用____等认证工具及手段，结合交易限额控制及实时/非实时监控等措施，实现对注册客户账户信息和资金安全的保护。	中	1234	K宝	K令	动态口令卡	安全认证手机号
多选题	专业知识	客户须指定本人的任一____作为电子银行服务费账户。	中	123	借记卡	准贷记卡	存折	贷记卡
多选题	专业知识	个人电子银行合约管理包括以下哪些功能模块?	中	123	渠道信息维护功能	注销电子渠道账户功能	恢复个人渠道功能	电子银行信息查询
多选题	专业知识	以下哪些交易可以进行个人网银限额维护?	难	34	个人电子银行签约	证书管理	个人电子银行合约管理	个人网银特殊限额维护
多选题	专业知识	以下哪些交易可以修改客户安全认证手机号?	难	12	动态密码设备管理	安全认证手机号管理	手机号删除	渠道密码重置
多选题	专业知识	个人电子银行信息查询，可以根据手机号码查询，以下哪些信息无法根据手机号码查询?	中	12	个人电子银行渠道注册信息	注册账户信息	短信银行合约	以上都不对
多选题	专业知识	柜员收到客户提交的网银书面撤单申请，应立即用____查询这笔业务的处理状态，并根据不同情况进行处理。	中	34	跨行转账收款方资料补录	跨行转账收款方资料复核提交	已处理补录信息查询	未处理补录业务查询
多选题	专业知识	以下哪些业务要求客户绑定二代以上K宝才能办理?	难	123	个人网银特殊限额维护	注销安全认证手机号	文件批量转账签约/解约	手机号删除
多选题	专业知识	以下哪些电子银行相关业务需要联网核查?	中	12	个人电子银行签约	渠道密码重置	个人业务转账交易回单打印	网上支付跨行清算业务回单打印
多选题	专业知识	以下哪些电子银行相关业务可以持有效证件到我行任一营业网点办理?	中	1234	个人电子银行签约	个人电子银行合约管理	个人电子银行合约暂停/注销	个人电子银行信息查询
多选题	专业知识	开通企业网上银行的现金管理功能后，通过企业网上银行办理对现金管理授权账户进行_____等相关业务。	中	1234	余额查询	明细查询	资金归集关系查询	上存资金余额查询
多选题	专业知识	企业网上银行证书业务包括_____等。	中	1234	申请证书	激活证书	补办证书	补打两码
多选题	专业知识	企业网上银行的落地业务主要包括_____等相关业务。	难	1234	预约业务	结售汇业务	部分跨行转账业务	符合相关账户监管规则的业务
多选题	专业知识	企业网银跨行转账落地业务由_____进行处理。	中	12	补录经办行	转汇行	开户行	注册行
多选题	专业知识	企业网上银行强制监管落地业务是指企业网银发起的_____的转账交易。	难	24	监管账户	限额账户超单笔转账限额	限额账户超多笔转账限额	超账户最低留存余额下限
多选题	专业知识	企业网上银行的代收业务是指客户通过企业网银发起主动扣款交易，从_____中扣划特定类型的款项，并转入该客户代收账户中的业务。	易	12	已授权的个人结算账户	已授权的企业结算账户	个人结算账户	企业结算账户
多选题	专业知识	经_____正式行文批复同意后，代收账户的开户行可以为代收客户办理批量维护代收授权账号业务。	易	13	一级分行电子银行部门	一级分行公司业务部门	经授权的二级分行电子银行业务部门	经授权的二级分行公司业务门
多选题	专业知识	开通企业网上银行的集团理财后，母（总）公司通过企业网上银行对已授权的子（分）公司账户进行_____等操作。	中	1234	信息查询	集团资金划拨	对外支付	代付业务
多选题	专业知识	企业网上银行维护业务分为_____模块。	中	1234	客户的企业网银渠道的信息维护、暂停、恢复和注销	企业网银注册账户的信息维护和删除	企业网银操作员（包括非证书操作员）的信息维护、权限设置以及删除。	以上均是
多选题	专业知识	网银渠道维护包括_____等。	易	1234	维护渠道信息	暂停渠道	注销渠道	恢复渠道
多选题	专业知识	企业网银的银行内部查询仅适用于_____。	易	123	司法协查	内部审计	其他必要的情形。	客户之间的纠纷
多选题	专业知识	企业网银的代付业务的资金用途应包括_____。	难	1234	保险理赔与退保	投资本金和利息	证券交易结算资金	公务报销
多选题	专业知识	企业网银注册包括_____功能。	易	134	企业网银渠道注册	企业网银渠道注销	添加注册账户	添加操作员
多选题	专业知识	企业网上银行注册业务包括_____。	中	124	企业网银注册	一对多企业网银注册	多对多企业网银注册	企业网银版本转换。
多选题	专业知识	客户办理网银版本转换业务，需向注册行提供_____等申请资料。	难	134	《电子银行业务申请表（企业）》	法定代表人有效身份证件原件	新增操作人员有效身份证件的原件及复印件。	经办人有效身份证件的原件及复印件。
多选题	专业知识	企业网银注册提交的《法人授权委托书》的审核信息包括_____。	难	234	委托人是否为经办人本人	授权期限是否在有效期内	是否有该企业的公章	是否有该企业法定代表人或授权代理人的签章。
多选题	专业知识	【46103】企业网银注册交易，智锐版需输入企业网上银行_____信息。	中	134	主操作员	管理员	制单员	复核员
多选题	专业知识	企业网上银行柜面业务的申请资料须符合“_____”的要求。	易	123	完整齐备	填写规范	签章有效	更改有效
多选题	专业知识	企业网上银行的交易功能按照开通方式可以划分为：_____。	易	12	默认开通	申请开通	全渠道开通	单渠道开通
多选题	专业知识	企业网上银行的部分交易功能还须得到有关权利人授权后方能正常使用，此类交易功能主要包括：_____。	难	1234	代理收款业务须得到被代收账户所属个人或企业的授权	资金归集业务须得到被归集账户所属个人或企业的授权；	集团理财业务须得到集团内相关分公司的授权	现金管理业务须得到相关企业的授权
多选题	专业知识	企业网上银行批量发起交易主要包括：_____。	易	1234	对公转账支付	对私转账支付	代理收款	资金归集
多选题	专业知识	企业网上银行自动处理主要适用于_____的交易功能。	易	123	风险等级较低	信息要素齐备	业务流程标准化程度较高	业务流程标准化程度较低
