试题类型	知识范畴	题干	试题难度	正确答案	答案				
单选题	对公贷款	办理自动提前还款业务的范围为我行所有个人贷款业务，但个人贷款利率类别属_____的除外。分行规定对个人贷款提前还款收取违约金的，不开办自动提前还款业务。	难	4	混合利率	分段利率	浮动利率	固定利率	
单选题	对公贷款	一笔贷款只能建立_____自动提前还款合约，对应关联_____自动提前还款结算合约卡或折；一个自动提前还款合约可以对应_____贷款合约。	难	1	一个、一个、多笔	一个、一个、一笔	一个、多个、多笔	一个、多个、一笔	
单选题	对公贷款	贷款冲正交易遵守借贷平衡交易规则，与合约余额相抵的金额，从内部合约中进行平衡，即_____时，登记内部合约；_____时，核销内部合约。	难	4	放款冲账、还款补账；放款补账、还款冲账	放款补账、还款补账；放款冲账、还款冲账	放款补账、放款冲账；还款补账、还款冲账	放款补账、还款冲账；放款冲账、还款补账	
单选题	对公贷款	贷款账单中各项本金之间存在的逻辑关系不正确的是：_____。	中	2	账单本金等于账单应收本金与已收本金之和。	账单本金总和会超过合约本金余额。	账单已收本金的增加会相应减少账单应收本金，对账单已收本金的减少会相应增加账单应收本金。	账单应收本金的增加会相应减少贷款未到期本金，对账单应收本金的减少会相应增加贷款未到期本金。	
单选题	对公贷款	_____是指商业汇票的持票人在汇票到期日前，为提前取得票据资金，以支付一定利息为代价，将票据权利转让给商业银行，是商业银行购入其商业汇票的票据行为，也是商业银行给持票人融资的一种方式。	易	1	贴现	转贴现	再贴现	质押	
单选题	对公贷款	_____是现指商业银行为了取得资金，以持有未到期的（转）贴现票据向另一商业银行申请融资，同时对票据权利进行转让，另一商业银行按照贴现期限、约定利率、转贴现额计算出利息，并按转贴现额扣除贴现利息后将余款支付给申请转贴现的商业银行融资行为。	易	2	贴现	转贴现	再贴现	质押	
单选题	对公贷款	再贴现是金融机构以未到期的（转）贴现的汇票向_____卖出汇票进行融通资金。中央银行按一定的利率扣除一定利息，将余款支付给金融机构的资金融通业务。	易	3	商业银行	金融同业	中央银行	保险机构	
单选题	对公贷款	BoEing系统_____对未结清的公司贷款和个人贷款合约生成贷款本金和利息余额报表。	易	1	每日	每月	每季末月21日	每季末月20日	
单选题	委托贷款	商业银行发放委托贷款坚持_____原则，银行不垫付资金，只收取手续费。	易	2	先贷后存，先拨后用	先存后贷，先拨后用	先贷后存，先用后拨	先存后贷，先用后拨	
单选题	委托贷款	委托贷款的出资人是_____。	易	4	受托人	中介	银行	委托人	
多选题	对公贷款	贷款利息包括_____。	易	123	正常息	罚息	复利	欠息	
多选题	对公贷款	质押贷款中，客户拥有或提供担保的财产(或权属)可以用作质押物。在BoEing中用作质押物的客户财产目前仅为系统内部质押物，包括：_____。	易	1234	定期存单	凭证式国债	储蓄国债	理财产品	
多选题	对公贷款	贷款冲正包括_____。	易	34	利率冲正	周期冲正	本金冲正	利息冲正	
多选题	对公贷款	贷款账单上的利息类型分为：_____。	中	1234	欠息	应收	已收	核销	
多选题	对公贷款	商业汇票的持票人在贴现、转贴现以及再贴现中有回购和买断两种不同的方式，以下对两种方式的说法正确的有_____。	中	13	买断指在办理（转/再）贴现时，由票据买入方到期收回票款的一种（转/再）贴现方式。	回购指在办理（转/再）贴现时，由票据买入方到期收回票款的一种（转/再）贴现方式。	回购指在办理（转/再）贴现时，由票据卖出方在约定回购日购回所卖出票据的（转/再）贴现方式。	买断指在办理（转/再）贴现时，由票据卖出方在约定回购日购回所卖出票据的（转/再）贴现方式。	
多选题	或有资产	以下对或有资产类合约说法正确的有：_____。	中	234	属于银行资产，涉及资金流动	或有资产类合约的账务属于表外业务	仅记录余额，没有任何资金的流动	是通用产品合约中的一种	
多选题	或有资产	或有资产类产品包括_____等。	难	1234	信用证	托收	保函/备用证	保理	
判断题	对公贷款	对公类贷款可以使用现金方式放款。	易	-1					
判断题	委托贷款	委托贷款在放款前必须先建立委托子合约完成资金委托。	难	1					
判断题	对公贷款	对公贷款停息/撤销停息交易不能抹账，操作错误只能再使用该交易恢复，输入的停息/撤销停息日期为同一日。	中	1					
判断题	委托贷款	委托贷款是指由政府部门、企事业单位及个人等委托人提供资金，由商业银行(即受托人)根据委托人确定的贷款对象、用途、金额、期限、利率等代为发放、监督使用并协助收回的贷款。	易	1					
单选题	对公贷款	对公贷款发放业务审核资料无误后，选择“31100贷款放款”交易，确认合约信息无误后执行贷款放款（激活）。贷款发放成功后打印借款凭证_____并加盖_____。	易	1	第二至五联、业务办讫章	第二至五联、业务专用章	第一至五联、业务办讫章	第一至五联、业务专用章	
单选题	对公贷款	对公贷款发放业务中，对《贷款发放通知单》的保管说法正确的是：_____。	中	3	一份专夹保管，一份加盖业务专用章后交信贷部门	一份随传票装订，一份加盖业务专用章后交信贷部门	一份随传票装订，一份加盖业务办讫章后交信贷部门	一份专夹保管，一份加盖业务办讫章后交信贷部门	
单选题	对公贷款	对公贷款发放业务中，受托支付贷款需要提供《委托支付通知单》。业务完成后，《委托支付通知单》_____。	易	2	专夹保管	随传票装订	加盖业务专用章后交信贷部门	加盖业务办讫章后交信贷部门	
单选题	补贴贷款	发放补贴贷款补贴贷款需另提供补贴合作协议和补贴合作协议复印件，对补贴合作协议和补贴合作协议复印件保管的说法正确的是_____。	易	3	补贴合作协议复印件专夹保管，原件交信贷部门。	补贴合作协议原件专夹保管，复印件交信贷部门。	补贴合作协议复印件随传票装订，原件交信贷部门。	补贴合作协议原件随传票装订，复印件交信贷部门。	
单选题	委托贷款	当委托贷款提前还款针对多个委托人中某一委托人时，或当委托主合约本息分配方式为全手工分配时，需进行委托贷款_____。	难	4	利息试算	本金手工分配	利息手工分配	本息手工分配	
单选题	对公贷款	定期结息、利随本清等还款方式的对公贷款部分提前还款时，计划变更方式需选择_____。	难	3	“期限缩短，每期还款额不变”	“期限缩短且每期还款额减少”	“期限不变，每期还款额减少”	“期限缩短，每期还款额增加”	
单选题	委托贷款	委托贷款超期后，系统按照委托合同约定自动提取相应比例的加罚息（超期利率高出正常利率的差额部分）作为中间业务收入。加罚息的计算公式为_____。	难	4	加罚息=罚息利息*正常利率/罚息利率	加罚息=罚息利息*罚息利率	加罚息=罚息利息*(罚息利率+正常利率)/罚息利率	加罚息=罚息利息*(罚息利率-正常利率)/罚息利率	
单选题	对公贷款	"贷款展期业务受理,信贷部门需要提供拟展期贷款的_____。"	中	2	《合同额度调整通知单》（一式两份）	《贷款展期约期通知单》（一式两份）	《贷款展期通知单》（一式两份）	《贷款约期通知单》（一式两份）	
单选题	委托贷款	委托贷款借款人到期不能偿还贷款时，应在_____提出展期申请并征得委托人同意方可办理委托贷款展期。	中	1	到期日前	到期日当日	到期日后三日内	到期日后五日内	
单选题	对公贷款	办理贷款核销业务，信贷部门需要提供贷款呆账核销批复文件或C3系统打印的由信贷部门负责人签署意见并加盖_____的贷款核销批复通知书。	易	2	信贷合同专用章	一级支行公章	信贷部门公章	审核章	
单选题	对公贷款	系统控制_____无法执行贷款核销操作。	难	1	月末	每季末月21日	每季末月20日	贷款到期日次日	
单选题	对公贷款	对公贷款隔日利息差错处理中，对任一利息种类进行冲正时，若利息已经扣收成功，应遵循_____的顺序；若利息尚未扣收，应遵循_____的顺序。	难	4	先冲已收息，再冲应收息，最后冲欠息；先冲欠息，再冲应收息	先冲已收息，再冲欠息，最后冲应收息；先冲应收息，再冲欠息	先冲应收息，再冲已收息，最后冲欠息；先冲应收息，再冲欠息	先冲已收息，再冲应收息，最后冲欠息；先冲应收息，再冲欠息	
单选题	对公贷款	只有计息方式为_____的贷款才能进行停息/撤销停息处理。	难	3	还本付息	利随本清	定期结息	不计息	
单选题	对公贷款	贷款停息后系统将账户结息方式修改为_____；撤销停息后系统会从撤销日恢复正常计息，并将结息方式修改为定期结息。	中	1	不计息	还本付息	利随本清	定期结息	
单选题	对公贷款	对公贷款划转是营业机构之间进行贷款划出、划入处理。贷款划转流程：_____。	难	2	信贷部门提交划转清单→划出行核对→划出行系统录入→划入行系统确认。	信贷部门提交划转清单→划出行核对→划出行系统录入→划入行系统确认→日终系统账务划转。	信贷部门提交划转清单→划出行核对→划出行系统录入→划出行系统确认→日终系统账务划转。	划出行自制清单→划出行核对→划出行系统录入→划入行系统确认→日终系统账务划转。	
单选题	对公贷款	贷款划转是营业机构之间进行贷款划出、划入处理。划出行贷款划转录入完毕后，必须于_____通知划入行。	易	1	当日	次日	三个工作日	次日上午	
单选题	对公贷款	贷款划转是营业机构之间进行贷款划出、划入处理。划入行接到通知后，必须于_____完成贷款划转确认。	易	4	当日	次日	三个工作日	划转日期前	
单选题	对公贷款	办理对公质押贷款单位定期存款质押冻结时，需要先将单位定期存款开户证实书换为定期存单，然后对单位定期存单进行冻结处理，冻结原因为质押冻结，冻结方式为_____。	易	2	半封	部分冻结	全封	全部冻结	
单选题	对公贷款	对公质押贷款以对公理财产品办理质押冻结的，由信贷部门提供_____。	易	3	经客户签章的《中国农业银行理财产品协议》	投资理财业务凭证	《对公理财产品确认书》（一式两联）	《对公理财产品质押处理通知书》（一式两联）	
单选题	对公贷款	对公质押贷款以对公理财产品办理质押解冻时，由信贷部门提供_____。	易	4	经客户签章的《中国农业银行理财产品协议》	投资理财业务凭证	《对公理财产品确认书》（一式两联）	《对公理财产品质押处理通知书》（一式两联）	
单选题	对公贷款	办理对公理财产品质押贷款的贷款人和出质人必须_____。办理对公理财产品质押贷款的营业机构和销售该笔理财产品的营业机构必须_____。	易	1	是同一主体、属于同一支行	是同一主体、是同一机构	属于同一支行、属于同一支行	属于同一支行、是同一机构	
单选题	对公贷款	对公理财产品质押冻结仅支持对理财产品子合约进行_____，且仅在理财产品_____之前操作方能成功。	易	2	部分冻结、到期日（不含）	全额冻结、到期日（不含）	部分冻结、到期日（含）	全额冻结、到期日（含）	
单选题	对公贷款	小企业自助可循环贷款额度终止或撤销时由_____。	易	3	直接在BoEing系统进行相应操作	由C3发起后才能在BoEing系统进行相应操作	C3系统直接进行操作，无需经由柜面处理	客户通过自助电子渠道办理	
单选题	对公贷款	委托贷款的委托主合约用于建立_____之间的关联关系。	易	4	银行和委托人	银行和借款人	银行和委托人与借款人	委托人和借款人	
单选题	委托贷款	以下对于委托贷款说法不正确的是：_____。	难	2	发放委托贷款坚持“先存后贷，先拨后用”的原则。	委托贷款纳入资产额度管理，占用贷款额度。	办理委托贷款业务可分别或同时向委托人和借款人收取手续费。	发放委托贷款银行不垫付资金，只收取手续费，不承担任何形式的贷款风险。	
单选题	委托贷款	_____的委托贷款可以进行委托资金追加和退还。	易	1	尚未发放	已经发放	尚未发放和已经发放	以上都不对	
单选题	补贴贷款	以下对补贴贷款说法错误的是：_____。	难	2	信贷部门需提供与补贴合作机构签订的合作协议及合作协议复印件	补贴子合约必须在贷款放款前建立	补贴是指补贴机构(政府、组织、公司等)，通过银行对借款人需偿还的贷款本金或利息按照一定标准予以代偿的一种形式	补贴子合约可在贷款放款后建立	
单选题	或有资产	办理或有类资产业务合约开立，信贷部门提供_____。	易	4	《一般委托合约开立通知单》（一式两份）	借款凭证（一式五联）	《贷款发放通知单》（一式两份）	《通用产品发放通知单》（一式两份）	
多选题	对公贷款	办理对公贷款发放业务，应提供_____。	易	1234	信贷部门提供《贷款发放通知单》（一式两份）	借款凭证（若为委托贷款，提供委托贷款业务凭证）（一式五联）	补贴贷款需另提供补贴合作协议和补贴合作协议复印件	受托支付贷款另提供《委托支付通知单》	
多选题	对公贷款	对公贷款发放业务审核资料无误后，选择“31100贷款放款”交易，确认合约信息无误后执行贷款放款（激活）。贷款发放成功后打印借款凭证第二至五联并加盖业务办讫章，其中_____。	难	123	第一联由营业机构专夹保管	第二联交借款人	第三联做当日传票	第四第五联交信贷部门	
多选题	委托贷款	委托贷款发放成功后打印委托贷款业务凭证第一至四联并加盖业务办讫章，_____。	易	124	第一联交借款人	第二联做当日传票	第三联第四联交收款人	第五联由营业机构保管	
多选题	对公贷款	对公信贷资产业务中，贷款归还分为_____。	难	234	分期还款	正常还款	提前还款	超期还款	
多选题	对公贷款	对公信贷资产业务中，贷款结清时，抽出原专夹保管的_____或_____随传票装订。	易	24	借款凭证第五联	借款凭证第一联	委托贷款业务凭证第一联	委托贷款业务凭证第五联	
多选题	对公贷款	对公信贷资产业务中，申请提前还款时，信贷部门需提供_____或_____；	难	13	《对公贷款还款通知书》（一式两联）	支付凭证	《一般委托贷款提前收回（还款）通知书》（一式两联）	来账清单	
多选题	对公贷款	对公贷款展期目前只支持对_____的还款方式。	中	1234	利随本清	定期结息	还本付息	不规则还款及不计息	
多选题	对公贷款	以下对公贷款核销业务资料保管说法正确的是：_____。	难	12	选择“31222贷款核销登记薄维护”交易对拟核销贷款进行登记。交易成功后打印业务凭证并加盖业务办讫章做当日传票。	贷款呆账核销批复文件或贷款核销批复通知书复印件随传票装订。	在原借款凭证第一联上注明“根据XX号核销批文核销XX贷款”、“X年X月X日核销”字样，随传票装订。	贷款呆账核销批复文件或贷款核销批复通知书随传票装订。	
多选题	对公贷款	以下对公贷款差错处理说法正确的是：_____。	中	1234	柜员根据错误类型填制特种转账凭证。	当日差错选择“63200抹账”交易进行业务处理。	隔日本金差错处理选择“31217贷款本金冲正”交易进行业务处理。	隔日利息差错处理选择“31218贷款利息冲正” 交易进行业务处理。	
多选题	对公贷款	对公贷款的质押物入库保管，是指根据信贷部门通知及制度要求办理有价单证或权属证书的_____等手续。	易	1234	核对	交接	登记	入库	
多选题	对公贷款	以下对对公贷款质押物入库业务办理的说法正确的有：_____。	中	123	信贷部门提供《抵质押物（品）出入库单》（一式三联），或提供抵质押品管理相关系统打印的质押物入库清单，实物封包。	需审核《抵质押物（品）出入库单》营业机构名称及机构号、借款人名称、贷款合同号、贷款期限是否填写完整且与借款凭证第一联一致；　　　《抵质押物（品）出入库单》中质押凭证清单是否登记质押物种类、数量、币种及金额、凭证号码、封包编号。	质押物封包按份计一元入账或按照登记价值入账	办理质押物入库不需要登记《重要空白凭证、有价单证及其它有价值品保管使用登记簿》。	
多选题	对公贷款	贷款划转是营业机构之间进行贷款划出、划入处理。以下关于贷款划转的说法正确的是：_____。	中	34	系统可支持按照产品组或单笔合约进行划转。一经划出，划出行不得删除。	划出行贷款划转录入完毕后，必须于三个工作日内通知划入行。	录入系统的贷款划转日期必须大于等于当前会计日期，如划转日大于当前会计日期，系统根据登记日期在其日终自动进行划转。	每月月底前两日不能是贷款划转日，例如5月份29日和30日不能是贷款划转日，6月份28日和29日不能是贷款划转日。	
多选题	对公贷款	对公质押贷款以单位定期存款质押冻结时，需要提供_____。借款人以第三人的单位定期存单提供质押担保时还应提供《使用开户证实书协议》。	中	1234	《单位定期存单确认书》（一式两联）	单位定期存款证实书	存款人预留印鉴或密码	《开立单位定期存单委托书》	
多选题	对公贷款	对公质押贷款办理单位定期存款质押解冻时，需要提供_____。	难	24	《解冻单位定期存单委托书》	《存单国债质押凭证处理通知书》（一式两联）	单位定期存款证实书	单位定期存单	
多选题	对公贷款	拟质押冻结的对公理财产品必须是_____理财产品。	中	13	固定期限的封闭式	不固定期限的封闭式	固定期限的半开放式	不固定期限的半开放式	
多选题	对公贷款	以下对于用对公理财产品质押冻结办理对公质押贷款的说法正确的是：_____。	难	124	对公理财产品质押冻结限定为本网点对公结算账户（暂不支持多级账簿）	在贷款质押期间，如遇理财产品返还投资收益或理财产品到期返还本金，则系统自动进行追加冻结，即系统自动将理财本金全部冻结在购买理财产品的资金结算账户内。	对公理财产品质押冻结会自动解冻，不需要根据信贷部门要求进行手工解冻。	对公理财产品质押冻结误操作后可用手工解冻交易进行解冻，不允许抹账。如果误操作后又进行恢复操作，须将业务凭证交客户及信贷部门。	
多选题	对公贷款	自助可循环贷款是指我行在统一授信额度内，为企业客户核定一个可撤销的最高贷款额度，在额度有效期内企业客户可通过_____渠道自主、循环使用贷款的贷款产品。	难	1234	营业柜台	网上银行	银企通平台	自助设备	
多选题	对公贷款	小企业自助可循环贷款_____由C3发起后才能在BoEing系统进行相应操作。	中	123	额度冻结/解冻	合同要素调整	合同额度调整	发放贷款	
多选题	委托贷款	以下对于委托贷款说法正确的是：_____。	中	134	发放委托贷款坚持“先存后贷，先拨后用”的原则。	委托贷款纳入资产额度管理，占用贷款额度。	办理委托贷款业务可分别或同时向委托人和借款人收取手续费。	发放委托贷款银行不垫付资金，只收取手续费，不承担任何形式的贷款风险。	
多选题	委托贷款	委托贷款归还的本息一般由系统日终批量程序根据委托人的出资比例进行分配。以下对于委托贷款本息分配说法正确的有：_____。	难	1234	委托贷款本息分配次日，柜员打印《委托贷款本息分配不成功清单》	委托贷款提前还款，还款日当日需对委托资金本息进行手工分配	委托合约本息分配方式为手工分配的，需还款日当日对委托资金本息进行手工分配	对于因委托人结算账户处于销户等不正常的状态导致无法正常分配本息的，未分配的本息资金转入其他应付款科目挂账专用账户，网点打印《委托贷款本息分配不成功清单》后，与客户联系、确认，将应付款挂账专用账户余额转入资金委托人结算账户，《委托贷款本息分配不成功清单》附在业务凭证后	
多选题	委托贷款	委托类贷款办理_____时，信贷部门需提供《一般委托合约开立通知单》（一式两份）。	中	124	委托主合约建立	委托子合约建立及资金委托	本息分配	委托资金变更	
多选题	或有资产	办理或有类资产业务的客户违约时，我行可通过转垫款交易将或有类资产业务转为贷款业务。信贷部门提供_____。	中	34	《通用产品发放通知单》（一式两份）	《贷款承诺（承诺类信贷业务）可撤销认定审核表》（一式两份）	《或有资产垫款通知单》（一式两份）	借款凭证	
判断题	纸质商业汇票业务	复核操作员发现纸质商业汇票系统输入的信息与原始凭证、文档资料记录不一致的作退回处理。	难	-1					
判断题	纸质商业汇票业务	办理贴现业务的纸质商业汇票发出托收，付款行拒绝付款且申请人在贴现到期时不能归还的汇票款项，经有关部门批准后，由操作员办理贴现转逾期。	易	1					
判断题	纸质商业汇票业务	经办行受理商业汇票托管业务时，应按照相关规定审查审批，并进行实地查询。	难	-1					
判断题	纸质商业汇票业务	纸质商业汇票系统的所有操作，视为系统记录的注册用户所为，用户对系统记录的本人操作负责。	易	1					
判断题	纸质商业汇票业务	纸质商业汇票系统业务操作时，有双控和单控两种模式选择。	易	1					
判断题	纸质商业汇票业务	纸质商业汇票系统业务的抹账可用于对本机构当日和隔日差错的处理。	难	-1					
判断题	纸质商业汇票业务	纸质商业汇票系统中用户按照权限分为管理员与操作员。管理员与操作员应严格分离。	易	1					
判断题	纸质商业汇票业务	纸质银行承兑汇票的记载信息与文档资料记载信息及系统记录信息应一致。经复核无误后，方可向申请出票人交付票据，也可由他人转交。	易	-1					
判断题	纸质商业汇票业务	商业汇票不可以办理质押。	易	-1					
判断题	纸质商业汇票业务	客户委托我行办理纸质商业汇票承兑、质押、注销等登记业务时，可提供纸质商业汇票复印件或扫描件。	难	-1					
单选题	纸质商业汇票业务	办理纸质商业汇票_____业务，必须经运营主管或其部门主管审批后办理。	易	4	票据注销	票据质押与解质押	票据止付及解止付	以上都是	
单选题	纸质商业汇票业务	纸质商业汇票系统承兑交易实行_____模式。	易	3	单控	录入、审核的双人操作	录入、复核的双人操作	录入、复核、审核的三人	
单选题	纸质商业汇票业务	办理纸质商业汇票业务，必须坚持_____与空白银行承兑汇票的分管分用。	易	1	汇票专用章	清算章	业务专用章	结算业务专用章	
单选题	纸质商业汇票业务	办理纸质商业汇票登记人民银行电子商业汇票系统业务时，系统记录信息与票据记载信息必须一致。登记票据信息有误，应在知悉登记有误的_____予以更正。	中	2	次日	当日	至迟次日	至迟次日十点前	
单选题	纸质商业汇票业务	通过纸质商业汇票系统办理的业务，系统_____自动将本日发生的业务信息登记人行电子商业汇票系统。	中	1	日终时	次日	三日内	不会	
单选题	纸质商业汇票业务	领用空白银行承兑汇票，按规定在_____系统中办理出售空白银行承兑汇票的相关手续。	中	3	贸易通	纸质商业承兑汇票	BoEing	电子商业汇票	
单选题	纸质商业汇票业务	在纸质商业汇票系统办理出票的银行承兑汇票到期，在扣划出票人账户存款和保证金后，仍不能足额付款支付票款时，凭票向持票人或收款人付款后，在纸质商业汇票系统做_____。	中	1	垫款处理	付款处理	请款处理	收款处理	
单选题	纸质商业汇票业务	汇票挂失交易处理。操作员选择汇票管理菜单中“挂失”中的“挂失止付”交易，输入票据号码后系统显示票据信息。操作员核对申请挂失止付的票据信息与系统显示信息相符，选择输入挂失种类。如为客户挂失止付的，“挂失种类”应选择_____；如为人民法院停止支付的，“挂失种类”应选择_____。	难	2	公示催告止付、挂失止付	挂失止付、公示催告止付	公示催告止付、公示催告止付	挂失止付、挂失止付	
单选题	纸质商业汇票业务	纸质商业汇票挂失止付由_____在纸质商业汇票系统办理。	中	3	贴现行	收款行	原办理承兑业务的经办行	贴入行	
单选题	纸质商业汇票业务	纸质商业汇票系统中办理挂失止付的汇票，仅限_____在纸质商业汇票系统办理解挂。	难	1	原挂失经办行	出票行	付款行	收款行	
单选题	纸质商业汇票业务	商业汇票在纸质商业汇票系统办理挂失止付的，自收到挂失止付通知书之日起_____日内没有收到人民法院止付通知书的，自第_____日起原挂失止付通知书失效。	难	3	"10,11"	"11,12"	"12,13"	"13,14"	
单选题	纸质商业汇票业务	在纸质商业汇票系统办理商业汇票质押的，以下_____不是非托管汇票质押的操作流程。	中	2	登记	出库	质押	入库	
单选题	纸质商业汇票业务	在纸质商业汇票系统办理商业汇票质押的，以下_____不是已托管汇票质押的操作流程。	中	1	登记	出库	质押	入库	
单选题	纸质商业汇票业务	在纸质商业汇票系统办理质押的商业汇票，应通过纸质商业汇票系统办理解质押。在纸质商业汇票系统办理汇票解质押时，按_____的流程处理。	难	4	仅办理解质押	先入库、后解质押	先登记、后解质押	先出库、后解质押	
单选题	纸质商业汇票业务	在纸质商业汇票系统出票后已承兑未使用的银行承兑汇票需要注销时，仅限_____通过纸质商业汇票系统办理。	易	3	出票行	付款行	承兑行	收款行	
单选题	纸质商业汇票业务	受理客户商业汇票委托收款业务，经办行操作员按_____流程处理。	易	4	只需做登记	只需做委托收款	先委托收款，后登记	先登记，后委托收款	
单选题	纸质商业汇票业务	发出的商业汇票委托收款获付款的，由经办行操作员按_____的流程处理。	易	2	先销记、后收款	先收款、后销记	仅收款	仅销记	
单选题	纸质商业汇票业务	银行承兑汇票按《支付结算办法》及“商业汇票相关制度”等规定记载票据信息，在交付时，汇票第_____联专夹保管。	易	4	四	三	二	一	
单选题	纸质商业汇票业务	运营主管或指定专人应_____检查纸质商业汇票系统业务资金划拨清算使用的“贸易通资金划拨中间户”账户，	中	3	每旬	每月	每日	每周	
单选题	纸质商业汇票业务	票据经营机构应指定专人_____与账务挂靠的营业机构核对本部门办理的相关业务及账务。对核对不一致的，必须立即查明原因并处理。	中	2	每日	按月	每周	按旬	
单选题	纸质商业汇票业务	操作员_____、运营主管本人或指定专人_____检查、核对贸易通-纸质商业汇票系统的账务，确保分户余额、纸质商业汇票卡片等核对一致。	难	1	每日、每旬	每周、每周	每周、每月	每日、每日	
多选题	纸质商业汇票业务	办理纸质商业汇票_____业务的票据，必须经票据真伪审验并按相关规定办理票据查询，确认票据及记载信息真实、无误后，方可办理。	易	234	托收	贴现	质押	托管	
多选题	纸质商业汇票业务	办理纸质商业汇票业务的_____等业务，必须经运营主管或其部门主管审批后办理。	易	1234	票据注销	质押与解质押	止付与解除止付	抹账、账务冲正及从“贸易通资金划拨中间户”专用账户（尾号000995D）汇划资金	
多选题	纸质商业汇票业务	办理纸质商业汇票业务时，_____等按照行内收费标准进行收费。	易	1234	承诺费	承兑手续费	委托收款手续费	工本费	
多选题	纸质商业汇票业务	对本行办理质押、贴现、转贴现业务的商业汇票办理委托收款时，且质押、贴现、转贴现的商业汇票已在纸质商业汇票系统做过入库处理的，由经办行在纸质商业汇票系统按选票（单张票据不需选票）、_____、_____的流程处理。	难	14	出库	委收	入库	托收	
多选题	纸质商业汇票业务	纸质商业汇票解挂业务受理：经办行收到客户提交的_____，检查填写内容及相关手续符合规定，审查挂失申请人或经办人身份真实，《解除挂失止付申请书》与专夹保管的第二联《挂失止付通知书》核对无误，经运营主管审批后进行解挂交易处理。	中	123	《解除挂失止付申请书》	交回《挂失止付通知书》第一联	人民法院出具的《解除停止支付通知书》	《停止支付通知书》	
多选题	纸质商业汇票业务	纸质商业汇票挂失业务受理时，经办行收到客户提交的_____或人民法院出具的_____，检查填写内容及相关手续符合规定，审查挂失申请人或经办人身份真实，挂失票据信息与专夹保管的汇票卡片核对相符，汇票确未付款且经运营主管审批后方可受理。	中	13	《挂失止付通知书》	公示催告	《停止支付通知书》	挂失申请书	
多选题	纸质商业汇票业务	纸质商业汇票系统是_____业务管理和处理的应用系统。	易	12	纸质银行承兑汇票	纸质商业承兑汇票	银行承兑汇票	商业承兑汇票	
