试题类型	知识范畴	题干	试题难度	正确答案	答案			
单选题	外币票据托收	机构客户申请办理外币票据托收业务的，需核对其票据背书签章和《外币票据托收申请书》上的签章，是否与其在我行的____相符。	中	4	预留公章	预留财务章	预留法人章	预留印鉴
单选题	外币票据托收	办理外币票据托收业务应审查票据记载事项。如果票据注明“NOT　NEGOTIABLE”，“NOT　TRANSFERABLE”，“A/C　PAYEE　ONLY”等表示不可转让的字样，票款只能付给票面指定的收款人。若此类票据已由票面指定的收款人背书转让，我行____。对于仅限某国或某地区境内流通的票据，我行____。	难	1	不予受理、不予受理	不予受理、可以受理	可以受理、不予受理	可以受理、可以受理
单选题	外币票据托收	外币票据托收业务档案应保存____年。	易	2	3	5	15	永久
单选题	外币票据托收	外币票据托收中，____方式适用的票据范围最广。	易	3	立即贷记	最终贷记	标准托收	特殊托收
单选题	外币票据托收	外币票据托收中，代收行应选择与我行签有____的代理行进行办理。	易	4	托收业务协议	票据托收业务协议	代理托收业务协议	代理票据托收业务协议
单选题	外币票据托收	外币票据托收中，通过“立即贷记”收回的款项，应要求申请人至少在我行存足____才能支取；对于付款行与代收行不在同一洲的票据，可视情况延长“立即贷记”款项的存期；对于收款人为个人的美国财政部支票，款项收回后应在我行存足____。	难	4	十天、三十天	半个月、一个月	一个月、两个月	一个月、三个月
单选题	外币票据托收	外币票据托收中，申请人要求以复印件托收，对于凭保付款托收回来的票据款项，应要求申请人在我行至少存足____个月方可使用.	易	1	1	2	3	6
单选题	外币票据托收	外币票据托收中，经办行收票后，应在每张托收票据的____加盖划线章，划线分普通划线和特别划线。	中	1	正面左上角	正面右上角	反面左上角	反面右上角
单选题	外币票据托收	外币票据托收中，票面的收款人可能以中文、英文（按拼音核对）或中英文对照之中的一种形式进行表示，如果用中英文同时表示，应以____为准。	易	1	中文	英文	中、英文一起	中、英文均可
单选题	外币票据托收	外币票据托收中，如果票据无特别注明，大多数票据自出票日期起____个月内有效（如美元支票、英镑支票等），超过有效期的票据我行不予受理。	易	4	1	2	3	6
单选题	外币票据托收	外币票据托收中，无论采用何种托收方式，我行对托收票据发生的退票均保留随时向____追索的权利。	易	3	收款人	付款人	申请人	出票人
单选题	外币票据托收	外币票据托收中，一般票据都注明了完整的货币符号，但有些票据的货币符号不完整，经办行应根据票据注明的____来确定票据的币种。	难	1	付款地	收款地	收款人	付款人
单选题	外币票据托收	在我行办理外币票据托收过程中，如果发生票据遗失，就及时通知____。	中	1	申请人	出票人	收款人	付款人
单选题	外币票据托收	外币票据托收业务中，如发现伪造、挂失止付的票据，经办行应予以____，并及时通知票据上的付款人和出票人。	易	1	没收	退还申请人	作废	退还出票人
单选题	外币票据托收	外币票据托收业务中，____是指我行按代理行所提供的服务范围，将符合要求的票据寄给代理行，代理行收到票据后通过票据交换中心进行清算并在保留追索权的情况下将票款贷记我行账户。	难	3	一般贷记	普通贷记	立即贷记	最终贷记
单选题	外币票据托收	外币票据托收业务中，____是指我行根据代理行协议，将符合要求的票据寄给代理行，由其在协议规定期限内或者贷记我行账户，或者通知退票，托收款项贷记我行账户后，该代理行承担票据正面的风险，但对于票据背面的风险如背书缺失、背书不正确、背书不完整、背书伪造等情况对我行仍然保留追索权。	难	4	一般贷记	普通贷记	立即贷记	最终贷记
单选题	外币票据托收	____是指我行将票据委托代理行办理托收，代理行将票据提示给付款人，付款人付款后代理行将款项扣除有关费用后，贷记我行账户。	中	2	最终贷记	标准托收	特殊托收	一般贷记
多选题	外币票据托收	外币票据托收是指我行作为____，根据____委托，代其向国外付款人收取外币金融票据的一种结算方式。	易	23	委托行	托收行	申请人	收款人
多选题	外币票据托收	受理外币票据托收申请，应审查票据正面记载事项。完整的票据正面应记载以下要素：____等内容。	中	1234	票据号码	出票日期	币种金额	收款人、付款人、出票人及其签字
多选题	外币票据托收	外币票据托收中，票据正面的记载事项____中的任意一项如有更改，即使有出票人的签章证明，我行也不予受理。	易	124	出票日期 	票面金额	付款人	收款人
多选题	外币票据托收	我行可以办理的外币票据托收的票据种类包括____。	中	1234	汇票	支票	本票	旅行支票和邮政汇票
多选题	外币票据托收	申请人办理票据托收，应填写《外币票据托收申请书》（一式三联），并签章确认。《外币票据托收申请书》必须____。	中	134	 内容完整准确	不得更改	字迹清楚	签章齐全
多选题	外币票据托收	我行主要的外币票据托收方式有____。	难	124	立即贷记	最终贷记	特殊托收	标准托收
多选题	外币票据托收	“立即贷记”是指我行按代理行所提供的服务范围，将符合要求的票据寄给代理行，代理行收到票据后通过票据交换中心进行清算并在保留追索权的情况下将票款贷记我行账户。____只能采用“立即贷记”方式托收。	难	134	旅行支票	本票	美国财政部支票	邮政汇票
多选题	外币票据托收	在办理外币票据托收业务时，经办行必须严格审查背书是否真实，审查要点包括____。	中	1234	票据是否经票面指定的收款人背书，表述是否一致。	收款人为个人客户的票据，经办行应对照其有效身份证件逐字核对。	收款人为机构客户的票据，应核对背书的印鉴是否完整，是否与其在我行的预留印鉴相符。	对于由其他银行再次背书委托我行收款的票据，我行可以受理但应与委托银行达成包括追索权在内的相关协议。
多选题	外币票据托收	外币票据托收中，经办行收票后，应在每张托收票据的正面左上角加盖划线章，划线分为____。	中	13	普通划线	一般划线	特别划线	特殊划线
多选题	外币票据托收	如果我行已按正常业务程序将托收票款解付给申请人，而代收行又退票，下列做法正确的是____。	难	24	“最终贷记”或“标准托收”收回的款项如非背书问题，我行可办理退票。	“立即贷记”方式收回的款项，如票据属于代收行“立即贷记”协议中承诺的“无退票”保证服务（GUARANTEED“NO　RETURN”SERVICE）的范围，且退票时间已超过保证期限，我行不接受退票。	对于代收行操作不当退回的票据，我行配合退票。	对于其他原因退回的票据，应直接借记申请人在我行的账户，或从申请人的其他回款中扣收，不足部分保留向申请人追索的权利。
多选题	外币票据托收	外币票据托收业务的经办行应对票据托收业务的____等进行收汇考核，以选择最佳的索汇路线。	易	1234	贷记天数	起息日期	退票日期	费用高低
多选题	外币票据托收	外币票据是重要有价单证，打包后的票据连同《外币票据托收委托书》应通过快邮方式寄往代收行。对外寄票后，应将____等附件装订在一起专夹保管，待票款收妥解付或退票处理时使用。	易	1234	《外币票据托收申请书》（银行留存联）	《外币票据托收委托书》（银行留存联）	票据正反面复印件	快邮回执
判断题	结售汇	“远期结售汇业务”，是指我行与客户签订相关合同文本，约定将来某一时刻或某一期间为客户办理结汇或售汇的币种、金额、汇率等交易要素，到期双方按照协议约定办理结汇或售汇的业务。	难	1				
判断题	结售汇	各类结售汇业务管理需按交易性质、交易背景分别管理，严格区分即期结售汇和人民币与外汇衍生产品，分别核算对客结售汇、自身结售汇和银行间市场交易业务。	易	1				
判断题	结售汇	即期结售汇业务的交易币种为我行符合规定办理即期结售汇业务的所有币种。	易	1				
判断题	结售汇	我行授权的外币兑换点办理的外币兑换业务、跨境人民币购售业务、自身结售汇业务等无需纳入结售汇统计。	易	-1				
判断题	结售汇	总行通过各种系统或途径发布的结售汇交易价格中，非系统故障原因出现交易价格不一致的，以总行发布的交易价格为准。	易	-1				
单选题	结售汇	办理即期结售汇业务，经办行审核客户提交的有效凭证或证明材料无误后，对公客户在PETS系统录入交易内容，完成对客交易和与总行平盘交易，并打印相关交易通知书。PETS系统是____。	中	2	国际收支申报系统	报价引擎及交易系统	外汇局个人结售汇管理信息系统	集中式国际结算业务处理系统
单选题	结售汇	____是指我行依据客户申请，与客户按照约定办理结汇或售汇业务，并在交易订立日后两个工作日内完成清算，且清算价格为交易订立日当日汇价的结售汇交易。	中	2	远期结售汇业务	即期结售汇业务	人民币与外汇掉期业务	人民币与外汇货币掉期业务
单选题	结售汇	经办行办理对私结售汇业务需按规定使用____。	易	3	国际收支申报系统	报价引擎及交易系统	外汇局个人结售汇管理信息系统	集中式国际结算业务处理系统
单选题	结售汇	“即期结售汇业务”，是指我行依据客户申请，与客户按照约定办理结汇或售汇业务，并在交易订立日____内完成清算，且清算价格为交易订立日当日汇价的结售汇交易。	中	3	当日	后一个工作日	后两个工作日	后三个工作日
单选题	结售汇	为客户办理远期结售汇、人民币与外币掉期业务、人民币外汇货币掉期业务，应按合约金额的____采用收取初始保证金、存单质押或占用授信额度等方式作为履约保障。	难	3	2%	3%	5%	10%
单选题	结售汇	为客户办理人民币与外汇掉期业务、人民币与外汇货币掉期业务以及人民币与外汇期权业务，我行应与客户签订____。	易	2	《人民币与外汇衍生交易协议》	《人民币与外汇衍生交易主协议》	《人民币与外汇交易协议》	《人民币与外汇交易主协议》
单选题	结售汇	____负责全行对公结售汇业务的综合管理。	易	4	零售银行业务部	金融市场部	财务会计部	国际金融部
单选题	结售汇	对公结售汇交易时间以银行间市场____交易时间为准。	易	2	远期	即期	掉期	择期
单选题	结售汇	客户申请办理即期结售汇业务，须按____规定提交有效凭证或证明材料。	中	1	国家外汇管理	银监局	人民银行	总行
单选题	结售汇	客户远期结售汇的履约宽限期最长不得超过交割日后____个工作日，在宽限期内办理的交割视同如约交割，展期后的业务不再设立宽限期。人民币与外币掉期业务不设宽限期。	中	3	1	2	3	7
单选题	结售汇	即期结售汇业务由于客户操作错误需要取消的交易只能违约（即对交易进行反向平仓），不能撤销交易，违约造成的损失由____承担，收益由经办行与客户按商业原则进行分配。因经办行操作错误引起的交易可以申请撤销，产生的盈亏由____自负。	中	2	客户、客户	客户、经办行	经办行、客户	经办行、经办行
单选题	结售汇	分支机构在经营结售汇业务期间，如发生机构更名、营业地址变更、经营结售汇业务的分支机构合并或者分立等情况，应当自变更之日起____内报所在地外汇局分支机构备案，同时应按照我行外汇业务市场准入相关规定向上级行报告。	难	4	10日	15日	20日	30日
单选题	结售汇	结售汇业务档案包括业务协议、交易申请书、交易通知书、交易确认书、客户提交的有效凭证和商业单据及相关证明材料等，保存期限不得少于____年。	难	3	3	5	10	15
单选题	结售汇	与境内合作银行开展合作办理远期结售汇业务时，以合作对象的信用为基础的业务，应纳入授信管理，占用我行对其授信额度。代合作银行客户办理远期结售汇业务，应按照合约金额的____占用合作银行总行在我行的授信额度，由客户管理行的机构业务部门负责额度的切分和调整。如果授信额度不足的，合作银行应以现金方式向我行提供履约保证。	难	1	5%	10%	15%	20%
单选题	结售汇	结售汇业务中，若盯市亏损与已追加履约保障金额的差额超过初始履约保障的____，应按照超额金额向客户追加履约保障。	难	2	70%	80%	85%	75%
单选题	结售汇	客户申请办理远期、外汇掉期业务前应与我行签订相关合同文本，并由客户的法定代表人或有权签字人签字并加盖____。	中	4	预留印鉴	法人章	财务章	公章
多选题	结售汇	“结售汇业务”是指银行为客户或因自身经营活动需求办理的人民币与外汇之间兑换的业务，包括____。	中	1234	与客户之间的即期结售汇	人民币与外汇衍生产品业务	合作办理远期结售汇业务	银行自身结售汇业务
多选题	结售汇	结售汇业务管理遵循____的原则。	易	1234	授权经营	归口管理	区分性质	依法合规
多选题	结售汇	办理结售汇业务应严格遵守国家外汇管理规定，遵循真实性和合规性原则，按照____的原则对相关凭证或商业单据进行审核，外汇局有明确规定的，从其规定。	易	134	了解业务	了解制度	了解客户	尽职审查
多选题	结售汇	对公结售汇业务、对私结售汇业务、自身结售汇业务的档案应分别保存。即期结售汇业务档案应按____保存，其他类别结售汇业务档案应区分交易类型、按____保存。	易	23	金额	日期	客户	柜员
多选题	结售汇	各级分支机构应按规定向外汇局和上级行报送结售汇业务报表，确保报送数据的____。	中	234	合规性	及时性	准确性	完整性
多选题	结售汇	远期、外汇掉期交易价格包括____。	易	23	挂牌汇价	总分行平盘价	对客成交价	协议价
多选题	结售汇	即期结售汇价格包括____。	易	123	挂牌汇价	总分行平盘价	与客户实际成交价	协议价
多选题	结售汇	结售汇业务档案包括____。	中	1234	业务协议	交易申请书	交易通知书、交易确认书	客户提交的有效凭证和商业单据及相关证明材料
多选题	结售汇	远期结售汇的交易类型分为____。	难	13	有固定到期日的远期交易	远期对远期的掉期交易	可在未来某一时间段内进行交割的择期交易	即期对远期的掉期交易
多选题	结售汇	外汇掉期业务的交易类型分为____。	中	23	即期对即期	即期对远期	远期对远期	远期对即期
多选题	结售汇	下列关于即期结售汇业务价格的说法正确的是____。	难	23	牌价和总分行平盘价、价格有效时限由总行确定。	对客成交价原则上不得优于总分行平盘价。	特殊情况下，如确需以优于总分行平盘价的价格与客户达成交易，须由经办行国际业务部门主管审查，经办行主管行长审批，并留档备查。	对客成交价区间由PETS系统在牌价基础上，根据客户等级分类和价格点差区间手工计算。
多选题	结售汇	我行对合作办理远期结售汇业务的境内合作银行实行准入管理。境内合作银行（包括其总行及分支机构），除须具备外汇局规定的条件以外，还须具备以下条件____。	难	234	按照16级信用等级分类，客户在我行评级应在AA级以上（含AA级）。	客户是我行已纳入授信管理的同业客户，授信在有效期内，且授信额度充足可用。	按照16级信用等级分类，客户在我行评级应在A级以上（含A级）。	客户应与我行保持较为密切的合作关系，已在我行开立资金往来结算账户，且管理规范、经营良好、支付能力强。
